Element   AtomicNumber   Row   Xcorr (eV)   J (eV)   Radius (A) VDW radius
H    1   1      4.4980     13.8904      0.3710      1.0000
Li   3   2      3.0060      4.7720      1.5570      0.0000
C    6   2      5.7230     10.1260      0.7590      1.9000
N    7   2      8.5990     11.7600      0.7150      1.6500
O    8   2      8.9610     13.3640      0.6690      1.6000
F    9   2     10.8740     14.4980      0.7060      0.0000
Na  11   3      2.8430      4.5920      2.0850      0.0000
Si  14   3      4.1680      6.9740      1.1760      0.0000
P   15   3      5.4630      8.0000      1.1020      1.9000
S   16   3      6.2680      8.9720      0.9470      1.9000
Cl  17   3      8.5640      9.8920      0.9940      0.0000
K   19   4      2.4210      3.8400      2.5860      0.0000
Br  35   4      7.7900      8.8500      1.1410      0.0000
Rb  37   5      2.3310      3.6920      2.7700      0.0000
I   53   5      6.8220      7.5240      1.3330      0.0000
Cs  55   6      2.1830      3.4220      2.9840      0.0000
